Manufacturer,Model,Type,Price,MPG.city,MPG.highway,AirBags,DriveTrain,Cylinders,EngineSize,Horsepower,Man.trans.avail,Fuel.tank.capacity,Passengers,Length,Width,Weight,Origin
Acura,Integra,Small,15.9,25,31,None,Front,4,1.8,140,Yes,13.2,5,177,68,2705,non-USA
Acura,Legend,Midsize,33.9,18,25,Driver & Passenger,Front,6,3.2,200,Yes,18,5,195,71,3560,non-USA
Audi,90,Compact,29.1,20,26,Driver only,Front,6,2.8,172,Yes,16.9,5,180,67,3375,non-USA
Audi,100,Midsize,37.7,19,26,Driver & Passenger,Front,6,2.8,172,Yes,21.1,6,193,70,3405,non-USA
BMW,535i,Midsize,30,22,30,Driver only,Rear,4,3.5,208,Yes,21.1,4,186,69,3640,non-USA
Buick,Century,Midsize,15.7,22,31,Driver only,Front,4,2.2,110,No,16.4,6,189,69,2880,USA
Buick,LeSabre,Large,20.8,19,28,Driver only,Front,6,3.8,170,No,18,6,200,74,3470,USA
Buick,Roadmaster,Large,23.7,16,25,Driver only,Rear,6,5.7,180,No,23,6,216,78,4105,USA
Buick,Riviera,Midsize,26.3,19,27,Driver only,Front,6,3.8,170,No,18.8,5,198,73,3495,USA
Cadillac,DeVille,Large,34.7,16,25,Driver only,Front,8,4.9,200,No,18,6,206,73,3620,USA
Cadillac,Seville,Midsize,40.1,16,25,Driver & Passenger,Front,8,4.6,295,No,20,5,204,74,3935,USA
Chevrolet,Cavalier,Compact,13.4,25,36,None,Front,4,2.2,110,Yes,15.2,5,182,66,2490,USA
Chevrolet,Corsica,Compact,11.4,25,34,Driver only,Front,4,2.2,110,Yes,15.6,5,184,68,2785,USA
Chevrolet,Camaro,Sporty,15.1,19,28,Driver & Passenger,Rear,6,3.4,160,Yes,15.5,4,193,74,3240,USA
Chevrolet,Lumina,Midsize,15.9,21,29,None,Front,4,2.2,110,No,16.5,6,198,71,3195,USA
Chevrolet,Lumina_APV,Van,16.3,18,23,None,Front,6,3.8,170,No,20,7,178,74,3715,USA
Chevrolet,Astro,Van,16.6,15,20,None,4WD,6,4.3,165,No,27,8,194,78,4025,USA
Chevrolet,Caprice,Large,18.8,17,26,Driver only,Rear,8,5,170,No,23,6,214,77,3910,USA
Chevrolet,Corvette,Sporty,38,17,25,Driver only,Rear,8,5.7,300,Yes,20,2,179,74,3380,USA
Chrylser,Concorde,Large,18.4,20,28,Driver & Passenger,Front,6,3.3,153,No,18,6,203,74,3515,USA
Chrysler,LeBaron,Compact,15.8,23,28,Driver & Passenger,Front,4,3,141,No,16,6,183,68,3085,USA
