EngineSize , Fuel.tank.capacity
1.8 , 13.2
3.2 , 18
2.8 , 16.9
2.8 , 21.1
3.5 , 21.1
2.2 , 16.4
3.8 , 18
5.7 , 23
3.8 , 18.8
4.9 , 18
4.6 , 20
2.2 , 15.2
2.2 , 15.6
3.4 , 15.5
2.2 , 16.5
3.8 , 20
4.3 , 27
5 , 23
5.7 , 20
3.3 , 18
3 , 16
3.3 , 16
1.5 , 13.2
2.2 , 14
2.5 , 16
3 , 20
2.5 , 16
3 , 19.8
1.5 , 13.2
3.5 , 18
1.3 , 10
1.8 , 13.2
2.3 , 15.9
2.3 , 15.4
2 , 15.5
3 , 21
3 , 16
4.6 , 20
1 , 10.6
1.6 , 12.4
2.3 , 15.9
1.5 , 11.9
2.2 , 17
1.5 , 11.9
1.8 , 13.7
1.5 , 11.9
2 , 17.2
4.5 , 22.5
3 , 18.5
3 , 20.6
3.8 , 18.4
4.6 , 20
1.6 , 13.2
1.8 , 14.5
2.5 , 15.5
3 , 19.6
1.3 , 20
2.3 , 14.5
3.2 , 18.5
1.6 , 11.1
3.8 , 18
1.5 , 13.2
3 , 19
1.6 , 13.2
2.4 , 15.9
3 , 20
3 , 18.5
2.3 , 15.2
2.2 , 16.5
3.8 , 20
3.8 , 18
1.8 , 15.9
1.6 , 13.2
2 , 15.2
3.4 , 15.5
3.4 , 16.5
3.8 , 18
2.1 , 18
1.9 , 12.8
1.2 , 9.2
1.8 , 15.9
2.2 , 15.9
1.3 , 10.6
1.5 , 11.9
2.2 , 15.9
2.2 , 18.5
2.4 , 19.8
1.8 , 12.4
2.5 , 21.1
2 , 18.5
2.8 , 18.5
2.3 , 15.8
2.4 , 19.3
